"","subj_id","correct","r","rsgn","rabs","smoothed","n","plot","log_time","actual_location","attempts","weights","response_0","alpha"
"1","161",1,0.5,1,0.5,0,96,"S",3.401197364,10,1,1,"10",-2.94443897916644
"2","161",1,-0.9,0,0.9,1,96,"S",2.484906674,20,1,1,"20",-2.94443897916644
"3","83",0,-0.5,0,0.5,0,24,"L",3.688879452,4,1,1,"15",-2.94443897916644
"4","135",0,-0.7,0,0.7,0,12,"S",3.178053828,11,1,1,"18",-2.94443897916644
"5","184",0,0.3,1,0.3,1,96,"S",2.07944154,17,1,1,"2",-2.94443897916644
"6","161",1,0.9,1,0.9,0,48,"S",2.07944154,13,1,1,"13",-2.94443897916644
"7","135",1,-0.9,0,0.9,1,96,"S",3.135494204,19,1,1,"19",-2.94443897916644
"8","94",1,0.9,1,0.9,1,48,"S",2.890371782,7,1,1,"7",-2.94443897916644
"9","184",0,-0.5,0,0.5,0,96,"S",1.386294438,19,1,1,"2",-2.94443897916644
"10","54",0,0.9,1,0.9,0,48,"L",2.07944154,4,1,1,"10",-2.94443897916644
"11","83",0,-0.7,0,0.7,0,96,"L",2.890371747,14,1,1,"12",-2.94443897916644
"12","184",0,0.5,1,0.5,1,48,"S",1.945910113,13,1,1,"2",-2.94443897916644
"13","144",0,0.5,1,0.5,0,24,"S",3.912023,3,1,1,"8",-2.94443897916644
"14","134",1,-0.7,0,0.7,1,48,"S",3.713572055,11,1,1,"11",-2.94443897916644
"15","184",0,0.7,1,0.7,0,96,"S",1.386294281,12,1,1,"1",-2.94443897916644
"16","83",0,-0.7,0,0.7,0,12,"L",3.044522432,2,1,1,"3",-2.94443897916644
"17","135",0,0.3,1,0.3,1,96,"S",3.218875807,1,1,1,"15",-2.94443897916644
"18","184",0,-0.3,0,0.3,0,24,"S",2.197224602,11,1,1,"3",-2.94443897916644
"19","151",0,-0.3,0,0.3,0,48,"L",3.828641398,10,3,0.333333333333333,"14",-2.94443897916644
"20","151",0,-0.3,0,0.3,0,48,"L",3.828641398,10,3,0.333333333333333,"5",-2.94443897916644
"21","151",0,-0.3,0,0.3,0,48,"L",3.828641398,10,3,0.333333333333333,"1",-2.94443897916644
"22","94",0,0.3,1,0.3,0,12,"S",2.77258872,7,1,1,"10",-2.94443897916644
"23","54",0,0.9,1,0.9,0,24,"L",2.484906621,5,2,0.5,"19",-2.94443897916644
"24","54",1,0.9,1,0.9,0,24,"L",2.484906621,5,2,0.5,"5",-2.94443897916644
"25","161",0,-0.5,0,0.5,0,12,"S",3.688879452,11,1,1,"10",-2.94443897916644
"26","134",0,0.9,1,0.9,1,48,"S",1.791759389,15,1,1,"11",-2.94443897916644
"27","184",0,-0.3,0,0.3,0,24,"L",2.07944154,17,1,1,"5",-2.94443897916644
"28","94",1,0.7,1,0.7,1,48,"S",2.564949397,5,1,1,"5",-2.94443897916644
"29","135",1,0.9,1,0.9,0,12,"S",2.564949397,8,1,1,"8",-2.94443897916644
"30","161",1,0.5,1,0.5,1,96,"S",2.56494935,10,1,1,"10",-2.94443897916644
"31","54",0,0.3,1,0.3,0,12,"L",2.833213356,16,1,1,"14",-2.94443897916644
"32","150",0,0.5,1,0.5,0,12,"S",3.401197385,19,1,1,"4",-2.94443897916644
"33","83",0,0.3,1,0.3,0,12,"L",3.258096554,14,1,1,"16",-2.94443897916644
"34","114",1,0.7,1,0.7,0,96,"S",2.397895278,11,1,1,"11",-2.94443897916644
"35","187",0,-0.5,0,0.5,0,48,"L",4.691347885,11,1,1,"5",-2.94443897916644
"36","54",0,-0.5,0,0.5,0,48,"L",2.484906674,12,1,1,"14",-2.94443897916644
"37","94",1,0.7,1,0.7,0,12,"S",2.77258872,19,1,1,"19",-2.94443897916644
"38","135",0,-0.7,0,0.7,1,96,"S",2.944438981,6,1,1,"15",-2.94443897916644
"39","32",0,0.5,1,0.5,0,24,"L",3.332204497,3,1,1,"5",-2.94443897916644
