"rabs","n","alpha","rsgn","smoothed","plot","subj_id","weights","correct","log_time"
0.5,96,-2.94443897916644,1,0,1,161,1,1,3.401197364
0.9,96,-2.94443897916644,0,1,1,161,1,1,2.484906674
0.5,24,-2.94443897916644,0,0,0,83,1,0,3.688879452
0.7,12,-2.94443897916644,0,0,1,135,1,0,3.178053828
0.3,96,-2.94443897916644,1,1,1,184,1,0,2.07944154
0.9,48,-2.94443897916644,1,0,1,161,1,1,2.07944154
0.9,96,-2.94443897916644,0,1,1,135,1,1,3.135494204
0.9,48,-2.94443897916644,1,1,1,94,1,1,2.890371782
0.5,96,-2.94443897916644,0,0,1,184,1,0,1.386294438
0.9,48,-2.94443897916644,1,0,0,54,1,0,2.07944154
0.7,96,-2.94443897916644,0,0,0,83,1,0,2.890371747
0.5,48,-2.94443897916644,1,1,1,184,1,0,1.945910113
0.5,24,-2.94443897916644,1,0,1,144,1,0,3.912023
0.7,48,-2.94443897916644,0,1,1,134,1,1,3.713572055
0.7,96,-2.94443897916644,1,0,1,184,1,0,1.386294281
0.7,12,-2.94443897916644,0,0,0,83,1,0,3.044522432
0.3,96,-2.94443897916644,1,1,1,135,1,0,3.218875807
0.3,24,-2.94443897916644,0,0,1,184,1,0,2.197224602
0.3,48,-2.94443897916644,0,0,0,151,0.333333333333333,0,3.828641398
0.3,48,-2.94443897916644,0,0,0,151,0.333333333333333,0,3.828641398
0.3,48,-2.94443897916644,0,0,0,151,0.333333333333333,0,3.828641398
0.3,12,-2.94443897916644,1,0,1,94,1,0,2.77258872
0.9,24,-2.94443897916644,1,0,0,54,0.5,0,2.484906621
0.9,24,-2.94443897916644,1,0,0,54,0.5,1,2.484906621
0.5,12,-2.94443897916644,0,0,1,161,1,0,3.688879452
0.9,48,-2.94443897916644,1,1,1,134,1,0,1.791759389
0.3,24,-2.94443897916644,0,0,0,184,1,0,2.07944154
0.7,48,-2.94443897916644,1,1,1,94,1,1,2.564949397
0.9,12,-2.94443897916644,1,0,1,135,1,1,2.564949397
0.5,96,-2.94443897916644,1,1,1,161,1,1,2.56494935
0.3,12,-2.94443897916644,1,0,0,54,1,0,2.833213356
0.5,12,-2.94443897916644,1,0,1,150,1,0,3.401197385
0.3,12,-2.94443897916644,1,0,0,83,1,0,3.258096554
0.7,96,-2.94443897916644,1,0,1,114,1,1,2.397895278
0.5,48,-2.94443897916644,0,0,0,187,1,0,4.691347885
0.5,48,-2.94443897916644,0,0,0,54,1,0,2.484906674
0.7,12,-2.94443897916644,1,0,1,94,1,1,2.77258872
0.7,96,-2.94443897916644,0,1,1,135,1,0,2.944438981
0.5,24,-2.94443897916644,1,0,0,32,1,0,3.332204497
0.5,48,-2.94443897916644,0,0,0,54,1,0,2.07944154
0.3,24,-2.94443897916644,0,0,0,83,1,0,2.890371782
0.3,96,-2.94443897916644,0,1,1,144,1,0,3.784189639
0.9,24,-2.94443897916644,1,0,0,161,1,1,3.496507567
0.3,96,-2.94443897916644,0,0,1,54,1,1,2.708050183
0.9,12,-2.94443897916644,1,0,0,32,1,1,2.07944154
0.7,12,-2.94443897916644,1,0,1,144,1,0,2.56494935
0.5,96,-2.94443897916644,1,0,1,83,1,1,2.77258872
0.5,48,-2.94443897916644,1,0,1,134,1,1,3.931825632
0.9,96,-2.94443897916644,0,0,0,187,1,0,3.178053828
0.7,24,-2.94443897916644,1,0,1,114,1,0,3.465735901
0.7,48,-2.94443897916644,1,1,1,150,1,1,3.295836867
0.7,12,-2.94443897916644,0,0,1,94,1,0,3.610917909
0.3,96,-2.94443897916644,0,0,1,144,1,0,2.484906621
0.3,48,-2.94443897916644,1,1,1,54,0.5,0,2.708050183
0.3,48,-2.94443897916644,1,1,1,54,0.5,0,2.708050183
0.3,48,-2.94443897916644,1,0,0,161,1,0,3.044522432
0.5,24,-2.94443897916644,1,0,0,151,0.5,0,4.043051259
0.5,24,-2.94443897916644,1,0,0,151,0.5,0,4.043051259
0.9,48,-2.94443897916644,1,0,0,184,1,0,4.219507708
0.9,48,-2.94443897916644,1,0,1,134,1,1,2.302585138
0.5,48,-2.94443897916644,1,1,0,188,1,0,4.304065089
0.9,96,-2.94443897916644,1,0,1,149,1,1,3.401197385
0.9,48,-2.94443897916644,0,0,1,54,1,1,1.386294438
0.3,24,-2.94443897916644,1,0,1,114,1,0,2.56494935
0.9,12,-2.94443897916644,1,0,0,184,1,0,2.197224532
0.9,48,-2.94443897916644,1,1,0,94,1,1,2.639057339
0.9,48,-2.94443897916644,1,1,1,150,1,1,2.944438981
0.7,96,-2.94443897916644,0,1,1,114,1,1,1.791759493
0.9,24,-2.94443897916644,0,0,0,187,1,0,3.178053828
0.5,12,-2.94443897916644,1,0,1,54,1,0,2.484906674
0.9,12,-2.94443897916644,0,0,0,184,1,0,1.791759493
0.3,96,-2.94443897916644,1,0,1,144,1,1,2.995732287
0.9,96,-2.94443897916644,0,0,1,83,1,1,2.302585138
0.5,12,-2.94443897916644,0,0,0,152,1,0,4.025351689
0.3,96,-2.94443897916644,1,1,0,151,1,0,2.995732256
0.7,96,-2.94443897916644,1,0,1,27,1,1,3.828641398
0.7,12,-2.94443897916644,0,0,1,54,1,0,1.945910113
0.5,96,-2.94443897916644,0,1,1,114,1,0,2.302585138
0.9,96,-2.94443897916644,0,1,0,184,1,0,1.945910113
0.7,96,-2.94443897916644,1,0,0,32,1,0,2.890371747
0.9,96,-2.94443897916644,1,0,0,114,1,1,1.945910203
0.3,48,-2.94443897916644,0,1,1,83,1,0,2.56494935
0.7,48,-2.94443897916644,1,1,0,41,1,1,3.526360518
0.3,48,-2.94443897916644,1,0,0,151,0.5,0,2.639057339
0.3,48,-2.94443897916644,1,0,0,151,0.5,1,2.639057339
0.5,48,-2.94443897916644,1,1,0,94,1,1,3.135494204
0.7,12,-2.94443897916644,1,0,0,165,1,1,3.433987195
0.3,24,-2.94443897916644,1,0,1,138,1,0,3.912023
0.3,96,-2.94443897916644,1,1,1,150,1,0,3.401197385
0.5,48,-2.94443897916644,0,0,1,134,1,0,3.761200115
0.5,12,-2.94443897916644,0,0,1,83,1,0,2.56494935
0.9,12,-2.94443897916644,0,0,0,144,1,0,3.401197385
0.9,96,-2.94443897916644,0,0,0,114,1,1,3.044522462
0.7,24,-2.94443897916644,1,0,1,83,1,0,2.07944154
0.9,48,-2.94443897916644,1,1,1,27,1,1,2.890371747
0.3,96,-2.94443897916644,1,0,1,52,1,1,3.367295825
0.3,24,-2.94443897916644,0,0,0,151,1,0,3.295836867
0.7,48,-2.94443897916644,0,0,0,94,1,0,3.218875832
0.5,96,-2.94443897916644,0,1,0,114,1,1,2.07944154
0.3,48,-2.94443897916644,0,1,0,188,1,0,3.97029191
0.5,48,-2.94443897916644,0,1,0,161,1,0,4.189654738
0.5,96,-2.94443897916644,0,0,1,149,1,1,4.00733319
0.9,96,-2.94443897916644,1,1,1,52,1,1,2.56494935
0.7,24,-2.94443897916644,1,0,1,176,1,0,4.158883081
0.7,12,-2.94443897916644,1,0,0,32,0.5,0,3.871201022
0.7,12,-2.94443897916644,1,0,0,32,0.5,0,3.871201022
0.7,96,-2.94443897916644,0,0,0,94,1,0,2.56494935
0.7,48,-2.94443897916644,0,0,1,151,1,1,2.77258872
0.3,96,-2.94443897916644,0,0,0,187,1,0,4.234106501
0.7,48,-2.94443897916644,1,1,0,148,1,0,3.332204519
0.5,12,-2.94443897916644,1,0,0,197,0.5,1,3.737669628
0.5,12,-2.94443897916644,1,0,0,197,0.5,0,3.737669628
0.5,96,-2.94443897916644,0,1,0,134,1,0,3.784189625
0.5,96,-2.94443897916644,1,0,1,196,1,1,5.0937502
0.3,48,-2.94443897916644,0,1,1,150,1,0,3.828641398
0.9,96,-2.94443897916644,1,1,0,94,1,1,2.397895278
0.5,24,-2.94443897916644,0,0,1,138,1,0,3.332204497
0.7,12,-2.94443897916644,1,0,0,161,1,0,3.25809653
0.3,12,-2.94443897916644,0,0,0,114,1,0,3.295836867
0.3,48,-2.94443897916644,0,1,1,32,1,0,2.639057339
0.5,48,-2.94443897916644,0,1,0,144,1,0,3.784189639
0.5,96,-2.94443897916644,1,1,1,151,1,1,2.77258872
0.9,12,-2.94443897916644,1,0,0,188,1,1,2.890371782
0.9,48,-2.94443897916644,0,1,0,137,1,1,3.610917909
0.7,96,-2.94443897916644,1,0,1,176,1,1,2.56494935
0.3,48,-2.94443897916644,0,0,0,41,1,1,4.262679881
0.7,48,-2.94443897916644,0,0,1,27,1,1,3.871201009
0.5,96,-2.94443897916644,0,0,1,32,1,1,2.484906674
0.9,24,-2.94443897916644,1,0,1,151,1,1,1.945910113
0.9,48,-2.94443897916644,0,1,0,161,1,1,2.708050225
0.7,96,-2.94443897916644,1,0,1,132,1,1,2.639057339
0.9,48,-2.94443897916644,0,1,0,135,1,0,5.010635293
0.3,48,-2.94443897916644,0,0,1,149,1,0,3.610917909
0.7,24,-2.94443897916644,0,0,1,59,1,1,3.091042458
0.3,96,-2.94443897916644,1,0,0,114,1,1,2.944438981
0.7,96,-2.94443897916644,0,1,1,32,1,1,1.791759493
0.9,48,-2.94443897916644,1,1,1,151,1,1,1.791759389
0.7,24,-2.94443897916644,0,0,0,144,1,1,2.995732287
0.3,48,-2.94443897916644,0,0,0,131,0.333333333333333,0,3.891820301
0.3,48,-2.94443897916644,0,0,0,131,0.333333333333333,1,3.891820301
0.3,48,-2.94443897916644,0,0,0,131,0.333333333333333,0,3.891820301
0.9,48,-2.94443897916644,1,0,1,11,1,1,4.248495242
0.7,12,-2.94443897916644,1,0,0,187,1,1,3.583518928
0.7,96,-2.94443897916644,1,0,0,142,1,1,3.433987195
0.3,12,-2.94443897916644,0,0,1,114,1,0,2.197224602
0.7,96,-2.94443897916644,1,1,1,151,1,1,2.197224532
0.5,48,-2.94443897916644,1,1,1,176,1,0,2.995732256
0.7,96,-2.94443897916644,1,1,0,150,1,1,3.526360518
0.3,48,-2.94443897916644,0,1,1,196,1,0,3.433987195
0.9,48,-2.94443897916644,1,1,0,165,1,1,4.330733342
0.7,48,-2.94443897916644,0,1,1,27,1,1,3.135494231
0.3,24,-2.94443897916644,0,0,1,32,1,0,2.708050225
0.5,96,-2.94443897916644,1,1,0,42,0.5,0,2.56494935
0.5,96,-2.94443897916644,1,1,0,42,0.5,0,2.56494935
0.5,96,-2.94443897916644,1,1,1,59,1,1,2.397895278
0.5,48,-2.94443897916644,1,0,1,138,0.5,0,3.761200115
0.5,48,-2.94443897916644,1,0,1,138,0.5,1,3.761200115
0.5,24,-2.94443897916644,1,0,1,187,1,0,2.56494935
0.9,96,-2.94443897916644,1,0,1,32,1,1,1.609437895
0.9,96,-2.94443897916644,1,0,1,176,1,1,2.302585075
0.7,96,-2.94443897916644,0,0,0,14,1,0,4.219507708
0.3,96,-2.94443897916644,1,1,0,134,1,0,3.97029191
0.7,48,-2.94443897916644,0,0,1,149,1,1,3.401197385
0.5,96,-2.94443897916644,1,0,0,135,1,0,3.465735901
0.7,48,-2.94443897916644,1,1,1,196,1,1,2.77258872
0.5,48,-2.94443897916644,0,1,1,132,1,0,3.178053855
0.9,96,-2.94443897916644,1,1,0,142,1,1,2.197224602
0.9,12,-2.94443897916644,1,0,1,114,1,1,3.178053828
0.7,96,-2.94443897916644,0,1,1,187,1,1,2.302585075
0.5,12,-2.94443897916644,0,0,1,59,1,0,2.56494935
0.3,12,-2.94443897916644,1,0,0,144,1,0,3.433987195
0.7,48,-2.94443897916644,1,0,1,149,1,1,2.302585138
0.5,96,-2.94443897916644,1,0,0,32,1,1,2.77258872
0.3,48,-2.94443897916644,1,0,0,137,1,0,3.663561638
0.5,96,-2.94443897916644,1,1,0,148,1,0,3.465735901
0.3,96,-2.94443897916644,0,1,1,176,1,0,2.833213356
0.7,48,-2.94443897916644,0,1,0,42,0.5,0,2.639057339
0.7,48,-2.94443897916644,0,1,0,42,0.5,0,2.639057339
0.5,96,-2.94443897916644,1,1,1,138,1,1,3.218875832
0.7,24,-2.94443897916644,0,0,1,196,1,0,2.708050183
0.7,96,-2.94443897916644,1,1,0,144,1,1,2.56494935
0.5,12,-2.94443897916644,0,0,0,41,1,0,4.060443017
0.3,24,-2.94443897916644,0,0,1,187,1,0,2.639057339
0.3,96,-2.94443897916644,1,0,1,27,1,0,3.496507548
0.9,96,-2.94443897916644,0,0,0,87,1,0,3.951243723
0.9,48,-2.94443897916644,1,0,0,150,1,0,3.401197385
0.5,48,-2.94443897916644,1,0,0,135,0.5,0,3.091042458
0.5,48,-2.94443897916644,1,0,0,135,0.5,0,3.091042458
0.3,96,-2.94443897916644,0,0,1,59,1,1,2.995732287
0.3,24,-2.94443897916644,1,0,0,165,1,0,3.663561654
0.3,48,-2.94443897916644,0,0,0,152,1,0,3.258096554
0.7,48,-2.94443897916644,1,1,0,142,1,1,3.25809653
0.3,96,-2.94443897916644,0,0,1,11,1,0,3.610917909
0.5,48,-2.94443897916644,1,0,1,187,1,1,2.197224602
0.7,48,-2.94443897916644,1,0,0,149,1,1,3.044522432
0.9,48,-2.94443897916644,0,0,1,59,1,1,1.791759493
0.7,48,-2.94443897916644,1,0,0,23,1,0,3.784189639
0.5,12,-2.94443897916644,0,0,0,32,1,0,3.135494231
0.3,24,-2.94443897916644,0,0,1,61,1,0,3.401197385
0.9,48,-2.94443897916644,0,1,0,42,0.5,0,2.639057339
0.9,48,-2.94443897916644,0,1,0,42,0.5,0,2.639057339
0.3,24,-2.94443897916644,0,0,1,132,1,0,3.401197385
0.5,24,-2.94443897916644,1,0,1,158,1,0,2.833213356
0.7,24,-2.94443897916644,1,0,1,17,1,0,2.944438981
0.9,48,-2.94443897916644,0,1,1,138,1,1,2.944438981
0.7,48,-2.94443897916644,0,1,1,187,1,0,2.397895278
0.7,48,-2.94443897916644,0,1,0,165,1,1,2.77258872
0.5,96,-2.94443897916644,0,0,0,197,1,0,4.430816801
0.9,12,-2.94443897916644,0,0,0,135,0.5,0,3.044522432
0.9,12,-2.94443897916644,0,0,0,135,0.5,0,3.044522432
0.3,48,-2.94443897916644,0,0,0,42,0.5,0,2.484906621
0.3,48,-2.94443897916644,0,0,0,42,0.5,0,2.484906621
0.5,48,-2.94443897916644,1,0,1,132,1,1,2.833213356
0.3,12,-2.94443897916644,1,0,0,134,1,0,4.060443006
0.5,96,-2.94443897916644,1,1,0,137,1,1,3.828641398
0.5,24,-2.94443897916644,1,0,0,41,1,0,3.663561654
0.3,12,-2.94443897916644,1,0,0,177,1,0,3.8066625
0.5,12,-2.94443897916644,0,0,0,142,1,0,3.433987195
0.5,48,-2.94443897916644,1,1,0,42,0.5,0,2.397895278
0.5,48,-2.94443897916644,1,1,0,42,0.5,0,2.397895278
0.5,12,-2.94443897916644,0,0,1,196,1,0,3.367295825
