,pic_id,data_id,correlation,autocorrelation,max_null,average_null,pic_name,test_param,smoothed,true_pos,sample_size,n,difficulty,percent,attempt
1,1,1,-0.903131322,-0.302205566,-0.732430186,-0.110885027,sxZ7BJdZVcKNQ.svg,scatter,no,3,5,12,-4,0.4,10
2,2,1,-0.903131322,-0.302205566,-0.732430186,-0.110885027,lOHaqLF7qWj2h.svg,line,no,3,5,12,-4,0.111111111,9
3,3,2,-0.899675221,-0.181026176,-0.60059548,0.031145251,seJ4YEBglF36j.svg,scatter,no,3,5,12,-4,0.25,4
4,4,2,-0.899675221,-0.181026176,-0.60059548,0.031145251,lt2UdfG8SgiEm.svg,line,no,3,5,12,-4,0.25,8
5,5,3,-0.906041852,0.255809463,0.54881202,-0.014351851,ssSx6XHa8BWoc.svg,scatter,no,17,5,12,-4,0.888888889,9
6,6,3,-0.906041852,0.255809463,0.54881202,-0.014351851,lkWnYkGDjnFyb.svg,line,no,17,5,12,-4,0.3,10
7,7,4,-0.712432222,0.420355497,0.563969095,0.032082933,scGA4EXdyXzcu.svg,scatter,no,11,5,12,-3,0.083333333,12
8,8,4,-0.712432222,0.420355497,0.563969095,0.032082933,lGXOabsBYu9By.svg,line,no,11,5,12,-3,0.166666667,6
9,9,5,-0.706818673,0.392848763,-0.671109212,-0.016620454,sLnEuzTszLnYa.svg,scatter,no,8,5,12,-3,0,9
10,10,5,-0.706818673,0.392848763,-0.671109212,-0.016620454,l1suMgQ1onhte.svg,line,no,8,5,12,-3,0,5
11,11,6,-0.712848424,0.502773815,-0.616839543,-0.141562009,s2i5110Rhqp5x.svg,scatter,no,2,5,12,-3,0.285714286,7
12,12,6,-0.712848424,0.502773815,-0.616839543,-0.141562009,lJb6SxfKVRRVK.svg,line,no,2,5,12,-3,0,8
13,13,7,-0.307076754,-0.004745201,-0.614558774,-0.056374025,s5jw3ExpsqiTK.svg,scatter,no,5,5,12,-1,0,5
14,14,7,-0.307076754,-0.004745201,-0.614558774,-0.056374025,ltEznrhHcdANJ.svg,line,no,5,5,12,-1,0,5
